,Ingredient 1,Ingredient 2,Ingredient 3,Effects
13412,Charred Skeever Hide 00052695,Nirnroot 00059b86,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
13413,Charred Skeever Hide 00052695,Nordic Barnacle 0007edf5,Orange Dartwing 000bb956,"Restore Stamina, Fortify Pickpocket"
13414,Charred Skeever Hide 00052695,Nordic Barnacle 0007edf5,Salmon RoeHF xx003545,"Restore Stamina, Waterbreathing"
13415,Charred Skeever Hide 00052695,Nordic Barnacle 0007edf5,Slaughterfish Egg 0007e8c5,"Resist Poison, Fortify Pickpocket"
13416,Charred Skeever Hide 00052695,Nordic Barnacle 0007edf5,Vampire Dust 0003ad76,"Regenerate Health, Cure Disease"
13417,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,,Restore Stamina
13418,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Red Mountain Flower 00077e1d,"Ravage Magicka, Restore Stamina"
13419,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Rock Warbler Egg 0007e8c8,"Restore Health, Restore Stamina"
13420,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,ScathecrawDB xx017e97,"Ravage Magicka, Restore Stamina, Lingering Damage Health"
13421,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Slaughterfish Egg 0007e8c5,"Resist Poison, Restore Stamina, Fortify Pickpocket, Lingering Damage Health"
13422,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Slaughterfish Scales 0003ad70,"Restore Stamina, Lingering Damage Health"
13423,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Spawn AshDB xx01cd6d,"Ravage Magicka, Restore Stamina"
13424,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina"
13425,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Thistle Branch 000134aa,"Resist Poison, Restore Stamina"
13426,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13427,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Vampire Dust 0003ad76,"Restore Stamina, Cure Disease"
13428,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Wheat 0004b0ba,"Restore Health, Restore Stamina"
13429,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,White Cap 0004da22,"Ravage Magicka, Restore Stamina"
13430,Charred Skeever Hide 00052695,Orange Dartwing 000bb956,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina"
13431,Charred Skeever Hide 00052695,Pearl 000854fe,,Restore Stamina
13432,Charred Skeever Hide 00052695,Pearl 000854fe,Red Mountain Flower 00077e1d,"Restore Magicka, Restore Stamina"
13433,Charred Skeever Hide 00052695,Pearl 000854fe,Rock Warbler Egg 0007e8c8,"Restore Health, Restore Stamina"
13434,Charred Skeever Hide 00052695,Pearl 000854fe,Slaughterfish Egg 0007e8c5,"Resist Poison, Restore Stamina"
13435,Charred Skeever Hide 00052695,Pearl 000854fe,Slaughterfish Scales 0003ad70,"Fortify Block, Restore Stamina"
13436,Charred Skeever Hide 00052695,Pearl 000854fe,Snowberries 0001b3bd,"Restore Stamina, Resist Shock"
13437,Charred Skeever Hide 00052695,Pearl 000854fe,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina, Resist Shock"
13438,Charred Skeever Hide 00052695,Pearl 000854fe,Taproot 0003ad71,"Restore Magicka, Restore Stamina"
13439,Charred Skeever Hide 00052695,Pearl 000854fe,Thistle Branch 000134aa,"Resist Poison, Restore Stamina"
13440,Charred Skeever Hide 00052695,Pearl 000854fe,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13441,Charred Skeever Hide 00052695,Pearl 000854fe,Tundra Cotton 0003f7f8,"Fortify Block, Restore Stamina"
13442,Charred Skeever Hide 00052695,Pearl 000854fe,Vampire Dust 0003ad76,"Restore Magicka, Restore Stamina, Cure Disease"
13443,Charred Skeever Hide 00052695,Pearl 000854fe,Wheat 0004b0ba,"Restore Health, Restore Stamina"
13444,Charred Skeever Hide 00052695,Pearl 000854fe,White Cap 0004da22,"Restore Magicka, Restore Stamina"
13445,Charred Skeever Hide 00052695,Pearl 000854fe,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina"
13446,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,,Restore Stamina
13447,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Rock Warbler Egg 0007e8c8,"Restore Health, Restore Stamina"
13448,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Slaughterfish Egg 0007e8c5,"Resist Poison, Restore Stamina"
13449,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Small Antlers 0006bc0b,"Weakness to Poison, Restore Stamina"
13450,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Snowberries 0001b3bd,"Restore Stamina, Resist Shock"
13451,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Spider Egg 0009151b,"Restore Stamina, Fortify Lockpicking"
13452,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina, Resist Shock"
13453,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Thistle Branch 000134aa,"Resist Poison, Restore Stamina"
13454,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13455,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Vampire Dust 0003ad76,"Restore Stamina, Cure Disease"
13456,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Wheat 0004b0ba,"Restore Health, Restore Stamina"
13457,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina"
13458,Charred Skeever Hide 00052695,Poison BloomDG xx0185fb,Powdered Mammoth Tusk 0006bc10,"Fear, Restore Stamina"
13459,Charred Skeever Hide 00052695,Poison BloomDG xx0185fb,Troll Fat 0003ad72,"Resist Poison, Damage Health"
13460,Charred Skeever Hide 00052695,Poison BloomDG xx0185fb,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Restore Stamina"
13461,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,,Restore Stamina
13462,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,Rock Warbler Egg 0007e8c8,"Restore Health, Restore Stamina"
13463,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,Slaughterfish Egg 0007e8c5,"Resist Poison, Restore Stamina"
13464,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina"
13465,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,Thistle Branch 000134aa,"Resist Poison, Restore Stamina"
13466,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13467,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,Vampire Dust 0003ad76,"Restore Stamina, Cure Disease"
13468,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,Wheat 0004b0ba,"Restore Health, Restore Stamina"
13469,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina"
13470,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,,Restore Stamina
13471,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Rock Warbler Egg 0007e8c8,"Restore Health, Restore Stamina"
13472,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Slaughterfish Egg 0007e8c5,"Resist Poison, Restore Stamina"
13473,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Slaughterfish Scales 0003ad70,"Resist Frost, Restore Stamina"
13474,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Snowberries 0001b3bd,"Resist Frost, Restore Stamina"
13475,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina, Lingering Damage Magicka"
13476,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Thistle Branch 000134aa,"Resist Poison, Resist Frost, Restore Stamina"
13477,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13478,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Vampire Dust 0003ad76,"Restore Stamina, Cure Disease"
13479,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Wheat 0004b0ba,"Restore Health, Restore Stamina, Lingering Damage Magicka"
13480,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina"
13481,Charred Skeever Hide 00052695,Red Mountain Flower 00077e1d,Salmon RoeHF xx003545,"Restore Stamina, Fortify Magicka"
13482,Charred Skeever Hide 00052695,Red Mountain Flower 00077e1d,Troll Fat 0003ad72,"Resist Poison, Damage Health"
13483,Charred Skeever Hide 00052695,Red Mountain Flower 00077e1d,Vampire Dust 0003ad76,"Restore Magicka, Cure Disease"
13484,Charred Skeever Hide 00052695,River Betty 00106e1a,Troll Fat 0003ad72,"Resist Poison, Damage Health"
13485,Charred Skeever Hide 00052695,River Betty 00106e1a,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Restore Stamina"
13486,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,,Restore Health
13487,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Sabre Cat Tooth 0006bc04,"Restore Health, Restore Stamina"
13488,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Salmon RoeHF xx003545,"Restore Health, Restore Stamina"
13489,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Salt Pile 00074a19,"Restore Health, Weakness to Magic"
13490,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Scaly Pholiota 0006f950,"Restore Health, Weakness to Magic"
13491,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Silverside Perch 00106e1c,"Restore Health, Restore Stamina"
13492,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Slaughterfish Egg 0007e8c5,"Resist Poison, Restore Health"
13493,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Small Pearl 00085500,"Restore Health, Restore Stamina, Fortify One-handed"
13494,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Spider Egg 0009151b,"Restore Health, Damage Stamina"
13495,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Taproot 0003ad71,"Restore Health, Weakness to Magic"
13496,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Thistle Branch 000134aa,"Resist Poison, Restore Health"
13497,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Torchbug Thorax 0004da73,"Restore Health, Restore Stamina, Weakness to Magic"
13498,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Troll Fat 0003ad72,"Resist Poison, Restore Health"
13499,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Vampire Dust 0003ad76,"Restore Health, Cure Disease"
13500,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Wisp Wrappings 0006bc0e,"Restore Health, Restore Stamina"
13501,Charred Skeever Hide 00052695,Rock Warbler Egg 0007e8c8,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Health"
13502,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,,Restore Stamina
13503,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Slaughterfish Egg 0007e8c5,"Resist Poison, Restore Stamina"
13504,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Slaughterfish Scales 0003ad70,"Restore Stamina, Fortify Heavy Armor"
13505,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Small Antlers 0006bc0b,"Weakness to Poison, Restore Stamina"
13506,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Spriggan Sap 00063b5f,"Fortify Smithing, Restore Stamina"
13507,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina"
13508,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Thistle Branch 000134aa,"Resist Poison, Restore Stamina, Fortify Heavy Armor"
13509,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13510,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Vampire Dust 0003ad76,"Restore Stamina, Cure Disease"
13511,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Wheat 0004b0ba,"Restore Health, Restore Stamina"
13512,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,White Cap 0004da22,"Restore Stamina, Fortify Heavy Armor"
13513,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina"
13514,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,,Restore Stamina
13515,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Salt Pile 00074a19,"Restore Stamina, Regenerate Magicka"
13516,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Slaughterfish Egg 0007e8c5,"Resist Poison, Restore Stamina"
13517,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina"
13518,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Taproot 0003ad71,"Restore Stamina, Regenerate Magicka"
13519,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Thistle Branch 000134aa,"Resist Poison, Restore Stamina"
13520,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13521,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Tundra Cotton 0003f7f8,"Restore Stamina, Fortify Magicka"
13522,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Vampire Dust 0003ad76,"Restore Stamina, Cure Disease"
13523,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Void Salts 0003ad60,"Restore Stamina, Fortify Magicka"
13524,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Wheat 0004b0ba,"Restore Health, Restore Stamina"
13525,Charred Skeever Hide 00052695,Salmon RoeHF xx003545,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina"
13526,Charred Skeever Hide 00052695,Salt Pile 00074a19,Small Pearl 00085500,"Restore Stamina, Fortify Restoration"
13527,Charred Skeever Hide 00052695,Salt Pile 00074a19,Torchbug Thorax 0004da73,"Restore Stamina, Weakness to Magic"
13528,Charred Skeever Hide 00052695,Salt Pile 00074a19,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Fortify Restoration"
13529,Charred Skeever Hide 00052695,Scaly Pholiota 0006f950,Torchbug Thorax 0004da73,"Restore Stamina, Weakness to Magic"
13530,Charred Skeever Hide 00052695,Scaly Pholiota 0006f950,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Restore Stamina"
13531,Charred Skeever Hide 00052695,ScathecrawDB xx017e97,Silverside Perch 00106e1c,"Restore Stamina, Ravage Health"
13532,Charred Skeever Hide 00052695,ScathecrawDB xx017e97,Slaughterfish Egg 0007e8c5,"Resist Poison, Lingering Damage Health"
13533,Charred Skeever Hide 00052695,ScathecrawDB xx017e97,Thistle Branch 000134aa,"Resist Poison, Ravage Stamina"
13534,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,,Restore Stamina
13535,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Skeever Tail 0003ad6f,"Restore Stamina, Ravage Health, Damage Stamina Regen"
13536,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Slaughterfish Egg 0007e8c5,"Resist Poison, Restore Stamina"
13537,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Slaughterfish Scales 0003ad70,"Resist Frost, Restore Stamina"
13538,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Snowberries 0001b3bd,"Resist Frost, Restore Stamina"
13539,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina"
13540,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Thistle Branch 000134aa,"Resist Poison, Resist Frost, Restore Stamina"
13541,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13542,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Vampire Dust 0003ad76,"Restore Stamina, Cure Disease"
13543,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Wheat 0004b0ba,"Restore Health, Restore Stamina, Damage Stamina Regen"
13544,Charred Skeever Hide 00052695,Silverside Perch 00106e1c,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina, Damage Stamina Regen"
13545,Charred Skeever Hide 00052695,Skeever Tail 0003ad6f,Troll Fat 0003ad72,"Resist Poison, Damage Health"
13546,Charred Skeever Hide 00052695,Skeever Tail 0003ad6f,Wheat 0004b0ba,"Restore Health, Damage Stamina Regen"
13547,Charred Skeever Hide 00052695,Skeever Tail 0003ad6f,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Damage Stamina Regen"
13548,Charred Skeever Hide 00052695,Slaughterfish Egg 0007e8c5,,Resist Poison
13549,Charred Skeever Hide 00052695,Slaughterfish Egg 0007e8c5,Slaughterfish Scales 0003ad70,"Resist Poison, Lingering Damage Health"
13550,Charred Skeever Hide 00052695,Slaughterfish Egg 0007e8c5,Small Pearl 00085500,"Resist Poison, Restore Stamina"
13551,Charred Skeever Hide 00052695,Slaughterfish Egg 0007e8c5,Swamp Fungal Pod 0007e8b7,"Resist Poison, Restore Health"
13552,Charred Skeever Hide 00052695,Slaughterfish Egg 0007e8c5,Torchbug Thorax 0004da73,"Resist Poison, Fortify Stamina, Restore Stamina"
13553,Charred Skeever Hide 00052695,Slaughterfish Egg 0007e8c5,Vampire Dust 0003ad76,"Resist Poison, Cure Disease"
13554,Charred Skeever Hide 00052695,Slaughterfish Egg 0007e8c5,Wheat 0004b0ba,"Resist Poison, Restore Health"
13555,Charred Skeever Hide 00052695,Slaughterfish Egg 0007e8c5,Wisp Wrappings 0006bc0e,"Resist Poison, Restore Stamina"
13556,Charred Skeever Hide 00052695,Slaughterfish Scales 0003ad70,Small Pearl 00085500,"Resist Frost, Restore Stamina"
13557,Charred Skeever Hide 00052695,Slaughterfish Scales 0003ad70,Thistle Branch 000134aa,"Resist Poison, Resist Frost, Fortify Heavy Armor"
13558,Charred Skeever Hide 00052695,Small Antlers 0006bc0b,Small Pearl 00085500,"Restore Stamina, Fortify Restoration"
13559,Charred Skeever Hide 00052695,Small Antlers 0006bc0b,Troll Fat 0003ad72,"Resist Poison, Damage Health"
13560,Charred Skeever Hide 00052695,Small Antlers 0006bc0b,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Fortify Restoration"
13561,Charred Skeever Hide 00052695,Small Pearl 00085500,,Restore Stamina
13562,Charred Skeever Hide 00052695,Small Pearl 00085500,Snowberries 0001b3bd,"Resist Frost, Restore Stamina"
13563,Charred Skeever Hide 00052695,Small Pearl 00085500,Swamp Fungal Pod 0007e8b7,"Restore Health, Restore Stamina"
13564,Charred Skeever Hide 00052695,Small Pearl 00085500,Thistle Branch 000134aa,"Resist Poison, Resist Frost, Restore Stamina"
13565,Charred Skeever Hide 00052695,Small Pearl 00085500,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13566,Charred Skeever Hide 00052695,Small Pearl 00085500,Vampire Dust 0003ad76,"Restore Stamina, Cure Disease"
13567,Charred Skeever Hide 00052695,Small Pearl 00085500,Wheat 0004b0ba,"Restore Health, Restore Stamina"
13568,Charred Skeever Hide 00052695,Small Pearl 00085500,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina, Fortify Restoration"
13569,Charred Skeever Hide 00052695,Snowberries 0001b3bd,Swamp Fungal Pod 0007e8b7,"Restore Health, Resist Shock"
13570,Charred Skeever Hide 00052695,Snowberries 0001b3bd,Thistle Branch 000134aa,"Resist Poison, Resist Frost"
13571,Charred Skeever Hide 00052695,Spawn AshDB xx01cd6d,Thistle Branch 000134aa,"Resist Poison, Ravage Stamina"
13572,Charred Skeever Hide 00052695,Swamp Fungal Pod 0007e8b7,,Restore Health
13573,Charred Skeever Hide 00052695,Swamp Fungal Pod 0007e8b7,Thistle Branch 000134aa,"Resist Poison, Restore Health"
13574,Charred Skeever Hide 00052695,Swamp Fungal Pod 0007e8b7,Torchbug Thorax 0004da73,"Restore Health, Restore Stamina, Lingering Damage Magicka"
13575,Charred Skeever Hide 00052695,Swamp Fungal Pod 0007e8b7,Troll Fat 0003ad72,"Resist Poison, Restore Health"
13576,Charred Skeever Hide 00052695,Swamp Fungal Pod 0007e8b7,Vampire Dust 0003ad76,"Restore Health, Cure Disease"
13577,Charred Skeever Hide 00052695,Swamp Fungal Pod 0007e8b7,Wisp Wrappings 0006bc0e,"Restore Health, Restore Stamina"
13578,Charred Skeever Hide 00052695,Swamp Fungal Pod 0007e8b7,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Health"
13579,Charred Skeever Hide 00052695,Taproot 0003ad71,Torchbug Thorax 0004da73,"Restore Stamina, Weakness to Magic"
13580,Charred Skeever Hide 00052695,Taproot 0003ad71,Vampire Dust 0003ad76,"Restore Magicka, Cure Disease"
13581,Charred Skeever Hide 00052695,Thistle Branch 000134aa,,Resist Poison
13582,Charred Skeever Hide 00052695,Thistle Branch 000134aa,Torchbug Thorax 0004da73,"Resist Poison, Restore Stamina"
13583,Charred Skeever Hide 00052695,Thistle Branch 000134aa,Vampire Dust 0003ad76,"Resist Poison, Cure Disease"
13584,Charred Skeever Hide 00052695,Thistle Branch 000134aa,Wheat 0004b0ba,"Resist Poison, Restore Health"
13585,Charred Skeever Hide 00052695,Thistle Branch 000134aa,White Cap 0004da22,"Resist Poison, Fortify Heavy Armor"
13586,Charred Skeever Hide 00052695,Thistle Branch 000134aa,Wisp Wrappings 0006bc0e,"Resist Poison, Restore Stamina"
13587,Charred Skeever Hide 00052695,Torchbug Thorax 0004da73,,Restore Stamina
13588,Charred Skeever Hide 00052695,Torchbug Thorax 0004da73,Troll Fat 0003ad72,"Resist Poison, Restore Stamina"
13589,Charred Skeever Hide 00052695,Torchbug Thorax 0004da73,Vampire Dust 0003ad76,"Restore Stamina, Cure Disease"
13590,Charred Skeever Hide 00052695,Torchbug Thorax 0004da73,Wheat 0004b0ba,"Restore Health, Restore Stamina, Lingering Damage Magicka"
13591,Charred Skeever Hide 00052695,Torchbug Thorax 0004da73,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina"
13592,Charred Skeever Hide 00052695,Trama RootDB xx017008,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Restore Stamina"
13593,Charred Skeever Hide 00052695,Troll Fat 0003ad72,,Resist Poison
13594,Charred Skeever Hide 00052695,Troll Fat 0003ad72,Vampire Dust 0003ad76,"Resist Poison, Cure Disease"
13595,Charred Skeever Hide 00052695,Troll Fat 0003ad72,Void Salts 0003ad60,"Resist Poison, Damage Health"
13596,Charred Skeever Hide 00052695,Troll Fat 0003ad72,Wheat 0004b0ba,"Resist Poison, Restore Health"
13597,Charred Skeever Hide 00052695,Troll Fat 0003ad72,Wisp Wrappings 0006bc0e,"Resist Poison, Restore Stamina"
13598,Charred Skeever Hide 00052695,Tundra Cotton 0003f7f8,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
13599,Charred Skeever Hide 00052695,Vampire Dust 0003ad76,,Cure Disease
13600,Charred Skeever Hide 00052695,Vampire Dust 0003ad76,Wheat 0004b0ba,"Restore Health, Cure Disease"
13601,Charred Skeever Hide 00052695,Vampire Dust 0003ad76,White Cap 0004da22,"Restore Magicka, Cure Disease"
13602,Charred Skeever Hide 00052695,Vampire Dust 0003ad76,Wisp Wrappings 0006bc0e,"Restore Stamina, Cure Disease"
13603,Charred Skeever Hide 00052695,Vampire Dust 0003ad76,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Cure Disease"
13604,Charred Skeever Hide 00052695,Void Salts 0003ad60,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
13605,Charred Skeever Hide 00052695,Wheat 0004b0ba,,Restore Health
13606,Charred Skeever Hide 00052695,Wheat 0004b0ba,Wisp Wrappings 0006bc0e,"Restore Health, Restore Stamina"
13607,Charred Skeever Hide 00052695,Wheat 0004b0ba,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Health, Fortify Health, Damage Stamina Regen"
13608,Charred Skeever Hide 00052695,Wisp Wrappings 0006bc0e,,Restore Stamina
13609,Charred Skeever Hide 00052695,Wisp Wrappings 0006bc0e,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Restore Stamina"
13610,Charred Skeever Hide 00052695,Yellow Mountain FlowerDG xx002a78,,Resist Poison
13611,Chaurus Eggs 0003ad56,Chaurus Hunter AntennaeDG xx0183b7,Crimson Nirnroot 000b701a,"Invisibility, Damage Stamina"
13612,Chaurus Eggs 0003ad56,Chaurus Hunter AntennaeDG xx0183b7,Glow Dust 0003ad73,"Damage Magicka Regen, Damage Magicka"
13613,Chaurus Eggs 0003ad56,Chaurus Hunter AntennaeDG xx0183b7,Hagraven Feathers 0003ad66,"Fortify Conjuration, Damage Magicka"
13614,Chaurus Eggs 0003ad56,Chaurus Hunter AntennaeDG xx0183b7,Hanging Moss 00057f91,"Damage Magicka Regen, Damage Magicka"
13615,Chaurus Eggs 0003ad56,Chaurus Hunter AntennaeDG xx0183b7,Human Heart 000b18cd,"Damage Magicka Regen, Damage Magicka"
13616,Chaurus Eggs 0003ad56,Chaurus Hunter AntennaeDG xx0183b7,Lavender 00045c28,"Fortify Stamina, Fortify Conjuration"
13617,Chaurus Eggs 0003ad56,Chaurus Hunter AntennaeDG xx0183b7,Nirnroot 00059b86,"Invisibility, Damage Stamina"
13618,Chaurus Eggs 0003ad56,Chicken's Egg 00023d77,Crimson Nirnroot 000b701a,"Invisibility, Resist Magic"
13619,Chaurus Eggs 0003ad56,Chicken's Egg 00023d77,Glow Dust 0003ad73,"Damage Magicka Regen, Damage Magicka"
13620,Chaurus Eggs 0003ad56,Chicken's Egg 00023d77,Hanging Moss 00057f91,"Damage Magicka Regen, Damage Magicka"
13621,Chaurus Eggs 0003ad56,Chicken's Egg 00023d77,Human Heart 000b18cd,"Damage Magicka Regen, Damage Magicka"
13622,Chaurus Eggs 0003ad56,Chicken's Egg 00023d77,Lavender 00045c28,"Fortify Stamina, Resist Magic"
13623,Chaurus Eggs 0003ad56,Chicken's Egg 00023d77,Nirnroot 00059b86,"Invisibility, Resist Magic"
13624,Chaurus Eggs 0003ad56,Chicken's Egg 00023d77,Nordic Barnacle 0007edf5,"Waterbreathing, Damage Magicka"
13625,Chaurus Eggs 0003ad56,Chicken's Egg 00023d77,Small Antlers 0006bc0b,"Weakness to Poison, Lingering Damage Stamina"
13626,Chaurus Eggs 0003ad56,Creep Cluster 000b2183,Daedra Heart 0003ad5b,"Damage Stamina Regen, Damage Magicka"
13627,Chaurus Eggs 0003ad56,Creep Cluster 000b2183,Giant Lichen 0007e8c1,"Restore Magicka, Weakness to Poison"
